symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
RBX1	0.25972224287967416	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	1	0	0	0	0	1	1	No data	0.4632101489244347	0	-1	255	No data	0	-1	-1
NPBWR1	0.2594094457261948	No data	0.4267088404557512	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	1	1	0	0.23780500000000018	0	0.9221180364037507	-0.752758005612292	0	No data	No data	-0.024390000000000002	0.5	0.5
TMEM163	0.2592527157522558	No data	0.4231711686649831	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037995674850726316	0.04871029109230692	No data	No data	0	0	0	0	0	0.5501750000000001	No data	0.1033645890788748	-0.6901227771559054	0	No data	No data	No data	0.5	0
NDRG1	0.2592147397029625	No data	0.41826593289741104	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16245261869510544	No data	No data	No data	0	0	0	0	0	0.6827399999999997	No data	-0.40474351902923333	-0.8088945602281528	0	No data	255	-0.06091250000000006	-1	-1
DDB1	0.25907547813397597	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	1	1	1	0.9824550000000002	No data	-0.9591836734693877	-0.7231195836182238	-1	No data	No data	0	-1	-1
NRXN1	0.25888681538917135	No data	0.42584915323629025	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.963505	No data	-0.8740209597352455	-0.33379179974214385	0	No data	No data	-0.22528250000000014	1	0
CRBN	0.25870589827929125	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.7850700000000004	1	0.310535024820739	-0.9094938363484895	0	No data	No data	No data	-1	-1
LIFR	0.25857611131236646	No data	0.42260238003341816	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0547137717850459	No data	No data	No data	1	1	0	0	0	0	No data	-0.28924434638720353	-0.8987547283976984	0	No data	No data	0	-1	0
STK32A	0.2573729429305745	No data	0.4225387142612541	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.016404674673513392	No data	No data	0	0	1	1	0	0.5328299999999999	No data	0.3270821842250413	-0.260584431250922	0	No data	No data	-0.21717249999999985	0.5	0
GFRA1	0.2568742975826331	No data	0.4225387142612541	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15	0	0	0	0	0	0.6666649999999997	No data	-0.7450634307777164	-0.8677788474449766	0	No data	No data	0	-1	0
