symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IL12B	0.734570044957905	0.9791702558812919	0.8557951926872112	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.68368012743092	No data	No data	1	0	1	0	0	0	0	No data	0.05195808052950901	-0.7718641284023925	0	No data	No data	No data	0.5	1
JAK2	0.6652549355111901	0.8573104209729381	0.783952881683333	No data	No data	No data	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	0.5490833602935111	0.044717180888602215	No data	1	1	0	1	1	1	0.6863950000000003	1	-0.20904578047435185	-0.8880064639175258	0	255	255	0	-1	-1
TNF	0.6391840028416805	0.9916214110499576	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9871124720274257	0.024694282812137466	0.4555546318869283	1	1	1	1	1	1	0	0	-0.5784886927744071	-0.9827379260198055	0	255	No data	0	0.5	0.5
PPARG	0.6314192483119688	0.9939249676752208	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8279109549023195	0.14922910938682024	No data	1	0	0	1	1	1	0.9157899999999998	1	-0.5346938775510204	-0.9812084574342594	0	255	255	0	0.5	0
IL23A	0.6292896658762958	0.9791702558812919	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8882440371278042	0.21165984049952644	0.40074798178558063	1	0	1	0	0	0	0	No data	0.6069498069498069	-0.7944153438648616	0	No data	No data	No data	1	0.5
NOD2	0.6274498366612973	No data	0.5652418023841104	No data	No data	0.8776156542187763	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4140592562974071	0.024253303999953763	0.30287112337010963	1	0	0	1	1	0	0	No data	0.11947049089906225	-0.8143087360547074	0	No data	No data	0	0.5	0
PTGS2	0.6258582399171752	0.9940088311545024	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5228231775928183	0.21583880380939804	0.2988587801058729	1	0	0	1	1	0	0.3377499999999998	0	-0.8618863761720905	-0.9746906083086682	0	255	No data	-0.019040000000000036	0.5	0
NR3C1	0.6182604926762423	0.9955035106396655	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4244275960937919	0.012000310702214741	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.8916712630998346	-0.9535439454461969	0	255	No data	0	-1	-1
PTGS1	0.6143725039193904	0.9940088311545024	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.32790432065359937	0.008643174766086505	No data	1	0	0	1	1	0	0.4741250000000001	1	-0.253392167677882	-0.9402028439291884	0	255	No data	-0.03171999999999997	0.5	0
ALOX5	0.6099824426049537	0.9939765705079739	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15774116066271215	0.06800272583195965	No data	1	0	0	1	1	0	0.6735900000000001	0	-0.06265857694429122	-0.28247970811937057	0	No data	No data	0	0.5	0
ITGB7	0.6071560347671664	0.9793682130067339	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	0.37633956026147397	1	1	0	1	0	0	0.3045099999999998	No data	-0.19867622724765577	0	0	No data	No data	0	0.5	0
ITGA4	0.6024220435087698	0.9775693541436206	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.26364863815788975	0.008402928573624254	No data	1	1	0	1	1	0	0.24418500000000024	No data	-0.5645890788747931	-0.8852086880129758	0	No data	No data	0	0.75	0
JAK3	0.5969787729128537	0.8575362746136957	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	0.21923581230279682	0.10574779121881082	0.309375982904554	1	1	0	1	1	1	0.1014249999999997	1	-0.06254826254826251	-0.8827739924286893	0	No data	255	0	0.5	0
IL10	0.5938405700674532	No data	0.9202240633813196	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8901632181242006	0.02178122997779743	0.5318170174023161	0.01	0	1	0	0	0	0	No data	-0.42151130722559293	-0.9606474195743103	0	255	No data	0	0.5	0
IL23R	0.5906361085232947	No data	0.9267453137943662	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.881989719090119	0.031803747309783435	No data	No data	1	0	0	1	0	0	No data	-0.382680639823497	-0.25964616602717483	0	255	No data	0	0.5	0.5
S1PR1	0.5846355210830079	0.9433447398050512	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3407986207400849	0.05833656679405228	No data	1	0	0	1	1	0	0.7120399999999997	1	-0.8693877551020408	-0.9479894374473465	0	No data	No data	0	-1	-1
IL12A	0.5799281024716678	0.9480102512362727	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11854883180007328	No data	No data	1	0	1	0	0	0	0	No data	0.2857142857142858	-0.6607844572693067	0	255	No data	No data	0.5	0.5
S1PR5	0.5677031220749772	0.9213476567861452	0.03528674289834983	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.043593517557110224	0.14014200933919896	No data	1	1	0	1	1	0	0.2462299999999999	No data	No data	0	0	No data	No data	0	0.5	0
PPAT	0.5593809767429955	0.9186194042155701	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	0	0	0	0	0	0.65184	No data	-0.67280750137893	0	-1	No data	No data	No data	-1	-1
S1PR4	0.5540948274000421	0.9047619131200753	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13364007628163463	No data	No data	1	0	0	1	1	0	0.0885399999999997	1	0.9282956425813569	0	0	No data	No data	0	0.5	0
GPR35	0.5536072116000945	No data	0.885296660310374	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.33678714713489344	No data	0.35722013667658853	No data	1	0	1	1	0	0	1	0.9273028130170988	-0.5916336710420869	0	No data	No data	0	0.5	0
FCGR2A	0.5526669305497712	No data	0.8694488241381043	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7270983425801935	0.1481127197842894	No data	No data	1	0	0	0	0	0	No data	-0.07964699393270824	-0.9110511792600087	0	No data	No data	-0.6372250000000002	0.5	-1
OTUD3	0.53821754129836	No data	0.8529957176034499	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.646625386100418	No data	No data	No data	0	0	0	0	0	0.09547499999999971	No data	-0.2281301709873138	-0.5232218517697595	0	No data	No data	0	-1	-1
RNF186	0.5368527135774246	No data	0.8561891063402515	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3363647856151812	No data	0.38836139178424384	No data	0	0	0	0	0	0	No data	0.9045780474351903	-0.6845086211817222	0	No data	No data	No data	0.5	0.5
TYK2	0.534582278373835	0.858111634807134	0.060612138701596346	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2737163678347721	No data	No data	1	0	0	1	1	0	0	1	-0.5373414230557088	-0.9015325860226683	0	No data	No data	0	-1	0
NKX2-3	0.5316655767729715	No data	0.8522011197679619	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4469676601446834	No data	No data	No data	0	0	0	0	0	0.49176000000000003	No data	-0.6196359624931054	-0.7765837357288347	0	No data	No data	0	0.75	0.5
JAK1	0.5289535953182188	0.8578293284609148	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.24518341500753643	No data	No data	1	0	0	1	1	0	0.7400350000000003	1	-0.9731936017650303	-0.9404145109122005	0	No data	255	0	-1	-1
TNFSF15	0.5200376612094547	No data	0.8376209952581408	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3389538762435638	0.038419899596444644	No data	No data	0	1	0	0	0	0	No data	0.02945394373965793	0	0	No data	No data	0	0.5	0
IRF5	0.5145771905342821	No data	0.8338141249346528	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2525256010414035	No data	No data	No data	0	0	0	0	0	0.27043000000000034	No data	-0.6492002206287921	-0.6328865502098152	0	No data	No data	0	-1	0
SLC26A3	0.512332661304462	No data	0.8197986155851905	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30389082881056645	0.17470558329903577	0.2507106609350326	No data	1	0	0	1	0	0.03141499999999979	No data	-0.19249862107004967	-0.7579028504621268	0	No data	No data	0	1	0.5
MST1	0.5106266850352835	No data	0.812491319304631	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4264031951158837	No data	0.27587899595615367	No data	0	1	No data	No data	No data	0	No data	-0.03132928847214567	-0.37483691099318206	0	No data	No data	0	1	-1
INAVA	0.507917788999701	No data	0.8205832377042092	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.039346632178752144	0.018284697390903656	0.27600058211567596	No data	0	0	0	0	0	0.3771650000000001	No data	-0.21952564809707664	-0.031001120182822806	0	No data	No data	0	0.5	0
TMCO4	0.5065822391942612	No data	0.8332893171138422	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.1009450000000001	No data	0.1553226696083838	No data	0	No data	No data	No data	-1	0
PRDM1	0.5040980522815545	No data	0.7464563937940358	No data	No data	No data	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	0.23545018898407835	0.12184386856804219	No data	No data	0	0	0	0	0	0.3696950000000001	No data	-0.8763375620518478	-0.9201438611582232	0	No data	255	0	0.5	-1
ADCY7	0.4990459533590354	No data	0.8171975775718054	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0739024319329927	No data	No data	No data	1	0	0	1	0	0.18981500000000012	No data	-0.3842250413678985	0	0	No data	No data	0	0.5	0
NR5A2	0.49254022676469555	No data	0.7780828444699152	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.49178812784013515	0.020826266828864317	0.326641217556724	No data	0	0	1	1	1	0.21441999999999978	0	-0.5449531163816879	-0.2652521265510627	0	No data	No data	0	0.75	0
PRKCB	0.48871362289411596	0.12158615952232422	0.765036609793235	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3625411642823385	0.032574410268947473	No data	1	0	0	1	1	0	0.9405650000000001	0	-0.9295091009376724	-0.19638901909574596	0	255	No data	-0.5059425000000001	0.5	0
DLD	0.4810603575052318	No data	0.7834716689403509	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15672181501354784	No data	No data	No data	0	0	0	0	1	0.7445950000000003	No data	-0.3992277992277993	-0.3931719437528311	0	No data	No data	0	0.5	-1
SMAD3	0.4765109909130305	No data	0.7750886158930443	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17471562402658547	No data	No data	No data	0	0	1	1	0	1	No data	-0.8234969663541092	-0.87635095247127	0	No data	255	-0.8058824999999998	-1	-1
PARK7	0.47187240903293143	No data	0.7642256111647827	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23937341917475527	No data	No data	No data	0	0	1	1	0	0.5767200000000002	1	0.10446773303916168	-0.34274856128884507	0	No data	No data	No data	-1	-1
NXPE1	0.47181913294214556	No data	0.7728543540033677	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04559480982087158	0.04376486273333572	No data	No data	0	1	0	0	0	No data	No data	0.47468284611141764	No data	0	No data	No data	-0.2458874999999999	1	0.5
TNRC18	0.4708542242406693	No data	0.7693591552038385	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10320580500680522	No data	No data	0	0	0	0	0	0	No data	-0.6247104247104247	No data	0	No data	No data	0	-1	-1
CCL20	0.4687556879905861	No data	0.723489438302239	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7950547360286191	0.352140190536981	No data	No data	0	1	0	0	0	0	No data	0.8799779371207943	No data	0	No data	No data	0	0.75	0
PUS10	0.45060423480310047	No data	0.7392086449317482	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04002211084276505	No data	No data	No data	0	0	0	0	0	0.32892500000000024	No data	0.19040264754550473	0	0	No data	No data	No data	-1	-1
STAT3	0.44391501581017145	No data	0.6880559103184579	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8430116569041388	No data	No data	0.2	0	0	1	1	0	0.9935049999999996	1	-0.9918367346938776	-0.8661913643502114	0	255	255	0	-1	-1
PDGFB	0.44317391123050726	No data	0.7157297702126536	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.204332295863906	0.13684713293869796	No data	0.7	0	1	0	0	0	0.4813299999999998	No data	-0.7161610590182019	-0.9718525103166387	0	No data	No data	0	-1	0
MAP3K8	0.43890763541308714	0.12158615952232422	0.6813977197286695	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2721823355777515	0.11093318039883028	0.2591608990218341	0.2	0	0	1	1	0	0.6680950000000003	0	-0.5941533370104799	-0.8574022827241295	0	No data	No data	0	1	-1
IL19	0.4378177756891684	No data	0.7061849560756336	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2608558762133725	0.04271608173001719	No data	No data	0	1	0	0	0	0	No data	0.2766685052399338	-0.46205414238031206	0	255	No data	0	0.75	0.5
GPR12	0.4316722508492938	No data	0.7091561782377211	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	1	0	0	0	0	0.6856299999999997	No data	-0.47821290678433537	-0.765915442384106	0	No data	No data	0	0.5	0.5
TNFAIP3	0.4270182039951538	No data	0.6686025927271204	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6679588152456943	0.018539426964886693	No data	No data	0	0	0	0	0	0.39873499999999995	No data	-0.9506894649751793	-0.8826535093140294	0	No data	255	0	0.5	-1
SLC7A10	0.4193477704817388	No data	0.6876674822738919	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	0	0	0	0	0	0.6462699999999998	No data	-0.3300606729178158	-0.7913213097632484	0	No data	No data	-0.08699750000000002	0.75	0.5
PTPN22	0.41826522251353476	No data	0.6636535309293756	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4872199985937231	No data	No data	No data	1	0	1	1	0	0	No data	-0.043574186431329265	-0.7777121557641825	0	No data	No data	0	0.5	0
CXCR2	0.41815085286119347	0.1654922726831635	0.6305036916717335	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.506317995365157	0.3758504491811098	No data	0.7	1	0	1	1	0	0	No data	0.3233314947600663	-0.9000153174724181	0	No data	No data	-0.368055	0.5	0
NFKB1	0.4165778348928419	No data	0.6406612007743301	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8915541115453588	No data	No data	0.7	0	0	1	1	0	0.36016499999999996	No data	-0.9677881963596249	-0.9127655388876762	0	255	No data	0	-1	-1
IL2RA	0.41577038770289276	0.14353921610274387	0.6283969518194241	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6348215480826376	0.1487885931326253	0.34652055463862397	1	0	0	0	1	0	0	No data	-0.1079977937120794	-0.8957419950085688	0	No data	No data	No data	0.5	0
IL18R1	0.4154425109845478	No data	0.6767567076855739	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11101231513552401	0.047882757994648806	No data	0.2	0	0	0	0	0	0	No data	0.3238830667402095	-0.6017599046773083	0	No data	No data	0	0.5	0
IL17REL	0.4139064733571346	No data	0.6763936428296818	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.048988986717945035	0.06724864982314718	No data	No data	0	1	0	0	0	No data	No data	0.3027027027027027	No data	0	No data	No data	No data	0.75	0.5
CNTNAP2	0.41285402200783095	No data	0.6791135169164177	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.688205	No data	-0.40794263651406504	-0.3315356520723639	0	No data	No data	0	0.75	0.5
DAGLB	0.41195320719011297	No data	0.6770238141453233	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	1	0	1	1	0	0	1	0.26971869829012696	No data	0	No data	No data	0	-1	-1
PTPN2	0.4096990542367629	No data	0.6386397863380375	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7056809632292413	No data	No data	No data	0	0	1	1	0	0.4337350000000001	1	-0.5464975179260894	-0.7766624700775734	0	255	No data	0	0.5	-1
RORC	0.40486373094513783	No data	0.6528449924476509	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2625020479644197	No data	No data	0.01	0	0	1	1	1	0.41119500000000003	1	-0.8450082735797022	-0.5994483708849513	0	255	No data	0	0.5	0
CARD9	0.40422953607218576	No data	0.6526062255496219	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2464133377325533	No data	No data	No data	0	0	0	0	0	0.2910449999999997	No data	0.3053502482073911	-0.08323942318989808	0	No data	No data	0	0.5	0.5
ATG16L1	0.40400194570112663	No data	0.6507139156807662	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2767721575346772	No data	No data	No data	0	0	0	0	0	0.7034599999999998	No data	-0.6383894098179812	-0.6328865502098152	0	No data	No data	0	-1	-1
MADCAM1	0.4029849153518034	0.6287007326341038	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6776969106185209	0.013230346234617052	No data	0.7	0	0	0	0	0	0	No data	0.9322669608383893	0	0	No data	No data	No data	0.5	0
OSMR	0.4028203921861007	0.06079307976116211	0.641163932090781	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.057638594400221815	0.2486822977454119	No data	0.2	0	0	0	0	0	0	No data	-0.07181467181467183	-0.8965352017609803	0	No data	No data	0	-1	0
TLR4	0.39950908720238765	No data	0.6244267821686063	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6288879002703504	0.05809208857345348	No data	0.7	1	0	1	1	0	0	0	-0.19084390512961946	-0.9683202095677457	0	255	No data	0	-1	-1
GNA12	0.39786745557506986	No data	0.6510790403964559	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06765425429087325	No data	No data	No data	0	0	0	0	0	0.8950150000000001	No data	-0.6211803640375069	No data	0	No data	No data	-0.06824250000000003	-1	-1
TET2	0.39580237649913447	No data	0.5282798074289596	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	0.3959110286013185	No data	No data	No data	0	0	1	1	0	0	No data	0.9997793712079426	-0.8804406422285638	0	No data	255	0	-1	0
ID4	0.3929275693374758	No data	0.6442082575594011	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	0	0	0	0	0	0.90683	No data	0.9645890788747931	-0.8087879465472277	0	No data	No data	0	0.5	0
TCP11	0.3921517617131407	No data	0.6441479745220724	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	0	0	0	0	0	0	No data	-0.03651406508549371	No data	0	No data	No data	-0.21968250000000006	1	1
PDE4A	0.39132969535582046	0.589253812551664	0.15827690187137916	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.669806818345696	No data	No data	1	1	0	1	1	1	0.06320499999999996	0	-0.7581908439051296	No data	0	255	No data	0	-1	-1
CD274	0.38774696939963493	No data	0.5845084607870984	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.957466458472432	0.24446421547181374	No data	1	1	1	1	1	0	0	1	-0.7129619415333701	-0.7576952072276649	0	No data	No data	0	0.5	0
DAP	0.387435156810573	No data	0.6354860648906713	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03630697819069404	No data	No data	No data	0	0	0	0	0	0.8039200000000001	No data	0.49917264202978484	-0.4547431408224101	0	No data	No data	0	-1	-1
CDKAL1	0.38691515943176286	No data	0.633971536271472	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03603340933176881	0.030278288655756606	No data	No data	0	0	0	0	0	0.5250450000000001	No data	-0.514396028681743	-0.7857486610232586	0	No data	No data	0	-1	-1
PACSIN1	0.38651831242707485	No data	0.6343779772846726	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.028305942470336565	No data	No data	0	0	0	0	0	0.7522500000000001	No data	-0.7673469387755102	-0.3214628816687787	0	No data	No data	-0.20045000000000002	0.75	0.5
GPR65	0.3854470703867519	No data	0.6256535702243227	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15298747391562448	0.032769840351830774	No data	No data	0	0	0	1	0	0	No data	0.9609487038058466	0	0	No data	No data	0	0.5	0
NEU4	0.38493605773364503	No data	0.6258954160116645	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14590339142678904	No data	No data	No data	1	0	1	1	0	0	No data	0.7094318808604523	-0.19187701174133848	0	No data	No data	0	1	0.5
IL10RA	0.38375875214676525	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25481332567656334	0.06033086779867074	0.33813110963158366	0.7	1	0	0	0	0	0	No data	-0.12123552123552128	-0.3297829543427139	0	No data	No data	0	0.5	0
CCL2	0.38260474227847	No data	0.5912888383459489	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6560254569383845	0.2369536870674002	No data	0.2	0	1	1	1	0	0	No data	0.8722559293987866	-0.9570792737022077	0	255	No data	-0.3434349999999998	0.5	-1
LCOR	0.3822829109606942	No data	0.6288263606031638	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.8557087699944843	No data	0	No data	No data	0	0.5	-1
SOCS1	0.3805982314850349	No data	0.5892094732809557	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5212669805183014	0.3255449563894769	0.28384288940486585	No data	0	0	0	0	0	0.78673	No data	0.6656370656370656	-0.955125568732443	0	No data	255	0	-1	0
IL10RB	0.3781575464592568	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.28219303276801433	No data	No data	0.7	0	0	0	0	0	0	No data	0.15554329840044123	-0.10356500814645536	0	No data	No data	0	-1	-1
IKZF1	0.37677436473569303	No data	0.6082128255479948	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21793812485378602	0.029496984900917796	No data	No data	0	0	1	1	0	0.6242750000000001	0	-0.8717043574186432	-0.9049385575092252	0	No data	255	0	0.75	0
SFMBT1	0.3762545269774453	No data	0.6189101267046138	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.43995499999999976	No data	-0.7931605074462218	No data	0	No data	No data	0	0.5	-1
CD40	0.37390246511070413	No data	0.57531392026803	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6955887874798342	0.2226511751020157	No data	0.2	1	1	0	1	0	0	No data	-0.4698290126861555	-0.2546557938051766	0	255	No data	0	0.5	0
ESR1	0.37134914393783497	No data	0.48215618397928434	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	0.6433279301433941	0.03214074628257176	No data	1	0	0	1	1	1	0.4789900000000003	1	-0.734142305570877	-0.9363843084471015	0	255	255	0	0.5	0
MC2R	0.3695798546847018	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.42760999999999993	No data	0.5953667953667954	-0.8040525637959164	0	255	No data	0	1	0.5
PDE4B	0.36944108740005516	0.589253812551664	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.246549712364713	0.2593968183350017	No data	1	0	0	1	1	1	0.8573349999999997	1	-0.8223938223938224	-0.7027944885547068	0	255	No data	-0.24932000000000015	0.5	-1
IFIH1	0.3690533848819742	No data	0.5963367581859332	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21456073153372143	No data	No data	No data	0	0	0	0	0	0	No data	0.6105901820187534	-0.8690988665881207	0	No data	No data	0	0.5	-1
SLC39A11	0.3667895451260898	No data	0.6025810367675495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	No data	0	0	0	0	0	0.52239	No data	0.4497517926089354	No data	0	No data	No data	No data	-1	-1
NCBP1	0.36646474591378475	0.597639268443635	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10334823559397559	No data	No data	0.7	0	0	0	0	0	0.898735	No data	-0.9548814120242691	0	-1	No data	No data	No data	-1	-1
CD6	0.36545285344644696	No data	0.592115777732972	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1805283243544995	No data	No data	0.7	1	1	0	0	0	0	No data	0.11483728626585776	-0.08884538371378592	0	No data	No data	0	0.5	0
TNFRSF14	0.3642916248112098	No data	0.5935008011811597	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11462519680528398	No data	No data	No data	1	0	0	0	0	0	No data	-0.24269167126309987	-0.786582681177096	0	No data	255	0	-1	0
